Seed,n,m,eps,tol,Iterationen,Zeit [s],Marginalfehler,Kosten,Kostendifferenz
0,128,128,0.6,1e-06,3970,0.08938431739807129,9.989021115368313e-07,2.318711640481462,0.0688028618641825
1,128,128,0.6,1e-06,4025,0.0666208267211914,9.999671466386084e-07,1.9702619626067253,0.08524360421227373
2,128,128,0.6,1e-06,4155,0.06356334686279297,9.997695187974331e-07,2.0885152067248685,0.07474195721201315
3,128,128,0.6,1e-06,1772,0.02915024757385254,9.974817734605124e-07,4.439408565104991,0.044744102800741814
4,128,128,0.6,1e-06,3684,0.057492971420288086,9.985676049338588e-07,2.6414250286076237,0.05426431576289481
5,128,128,0.6,1e-06,3391,0.0635216236114502,9.985260711851962e-07,2.6885676561017258,0.059967522339334334
6,128,128,0.6,1e-06,823,0.020136356353759766,9.91472379779923e-07,6.366284636240357,0.017667716018586077
7,128,128,0.6,1e-06,3986,0.0624847412109375,9.99140922925898e-07,2.257226565503756,0.07542640908607945
8,128,128,0.6,1e-06,4925,0.08387875556945801,9.994799358929024e-07,1.6667908962787632,0.09101543534085788
9,128,128,0.6,1e-06,4028,0.06748270988464355,9.99564509742562e-07,4.43108388144464,0.033995893986447534
0,128,128,0.5,1e-06,4853,0.08019590377807617,9.997323462147129e-07,2.287823965484329,0.03791518686704931
1,128,128,0.5,1e-06,4972,0.07719922065734863,9.988170698756182e-07,1.9342961886927592,0.04927783029830768
2,128,128,0.5,1e-06,5209,0.08264660835266113,9.993151853567722e-07,2.055401435777873,0.04162818626501785
3,128,128,0.5,1e-06,2143,0.035248517990112305,9.961091541246109e-07,4.419159245679332,0.024494783375082818
4,128,128,0.5,1e-06,4443,0.07359528541564941,9.994946438968144e-07,2.6161435753996787,0.02898286255494975
5,128,128,0.5,1e-06,4184,0.06566834449768066,9.986154346410675e-07,2.662059581875705,0.033459448113313695
6,128,128,0.5,1e-06,952,0.014754056930541992,9.899403172770188e-07,6.357156461840031,0.008539541618260316
